식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
녹차라떼,355,mL,0,355,313,10,0,0,41,124,0,5,0,0
아이스녹차라떼,456,mL,0,456,336,9,0,0,49,108,0,5,0,0
핫초코,355,mL,0,355,343,14,0,0,35,129,0,6,0,0
아이스초코,456,mL,0,456,325,11,0,0,32,117,0,6,0,0
벚꽃레몬에이드,456,mL,0,456,19,0,0,0,47,4,0,0.1,0,0
패션후르츠 레몬에이드,456,mL,0,456,210,0,0,0,45,20,0,0.1,0,0
마일드 민트 레몬에이드,456,mL,0,456,187,0,0,0,45,8,0,0,0,0
체다치즈 딥,30,g,30,0,65,2,0,0,2,222,0,2,0,0
크림치즈 딥,28,g,28,0,100,2,0,0,1,105,0,6,0,0
핫살사 치즈 딥,30,g,30,0,53,2,0,0,1,241,0,2,0,0
핫 토마토 딥,30,g,30,0,23,1,0,0,3,374,0,0,0,0
아메리카노,100,mL,0,100,2.46,0.12,0.05,0.38,0,0,0,0.03,0,0
카페라떼,100,mL,0,100,17.6,1.07,0.63,1.92,0.74,24.9,0,0.42,0.02,0
카푸치노,100,mL,0,100,22.9,1.34,0.86,2.46,1.21,31.5,0,0.57,0.03,0
카라멜마끼아또,100,mL,0,100,40.1,2.02,0.88,6.03,5.78,24.3,0,0.58,0.03,0
바닐라 라떼,100,mL,0,100,40.7,1.29,1.52,5.46,3.76,32.4,0,1.08,0.05,0
카페모카,100,mL,0,100,38.9,0.86,1.11,6.37,4.76,30.8,0,0.87,0.04,0
헤이즐넛 아메리카노,100,mL,0,100,1.98,0.17,0.01,0.31,0,1.14,0,0,0,0
헤이즐넛 라떼,100,mL,0,100,21,1.17,1.06,1.72,1.35,11.6,0,0.69,0.03,0
더치 아메리카노,100,mL,0,100,2.84,0.18,0.01,0.51,0,0,0,0,0,0
더치 라떼,100,mL,0,100,20.6,1.01,0.88,2.16,1.37,10.7,0,0.6,0.02,0
초코라떼,100,mL,0,100,65.2,1.46,1.79,10.8,9.6,42.8,0,1.17,0.05,0
녹차라떼,100,mL,0,100,57.4,1.59,1.4,9.61,8.75,23.3,0,0.92,0.05,0
오곡라떼,100,mL,0,100,65.1,1.65,2.15,9.79,6.59,18.1,0,1.23,0.58,0
민트크림초코,100,mL,0,100,66.5,1.25,2.17,10.5,7.5,30.8,0,1.71,0.07,0
고구마라떼,100,mL,0,100,73.7,1.24,1.68,13.4,7.3,29.6,0,1.11,0.06,0
홍차라떼,100,mL,0,100,61,1.65,1.83,9.47,8.9,16,0,1.6,0.6,0
폭탄초코,100,mL,0,100,77.7,1.51,3.21,10.7,10.3,34.5,0,2.5,0.09,0
딸기라떼,100,mL,0,100,64.8,1.36,2.21,9.87,9.72,13.8,0,1.4,0.67,0
플레인요거트,100,mL,0,100,62.1,2.16,0.7,13.2,12.7,34.2,0,0.47,0.02,0
딸기요거트,100,mL,0,100,75.1,1.73,0.55,15.8,15.6,32.6,0,0.36,0.01,0
녹차프라페,100,mL,0,100,71.1,1.55,1.74,12.3,10.6,18.8,0,1.45,0.03,0
폭탄프라페,100,mL,0,100,110,1.07,5.53,14,13.6,31.3,0,4.6,0.08,0
쿠키프라페,100,mL,0,100,104,1.53,4.55,14.3,8.04,69.7,0,3.43,0.04,0
민트프라페,100,mL,0,100,90.5,0.97,4.74,11,9.15,22.4,0,4.19,0.08,0
딸기스무디,100,mL,0,100,64.7,0.66,1.47,12.2,9.96,14.4,0,1.2,0.01,0
망고스무디,100,mL,0,100,58.1,0.75,0.7,12.2,11.8,15.4,0,0.45,0.02,0
망고요거트,100,mL,0,100,71.7,1.55,0.7,14.8,13,21.6,0,0.45,0.02,0
모카프라페,100,mL,0,100,97.1,1.49,4.75,12.1,11.8,26.3,0,3.9,0.09,0
